,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent25,0.9937238976875001,0.37006270160076243,1.3671806442791665,2817.75,24,24,0,0
Agent68,0.7680723831166668,0.436763212042419,1.4070898265916665,3126.5833333333335,24,24,0,0
Agent2,0.7435159393333333,0.5159833977211407,1.490235893383333,2001.7083333333333,24,24,0,0
Agent32,0.7317140722458334,0.5628671986015712,1.536374961091667,618.25,24,24,0,0
Group40Agent03,0.6931804001375,0.5475723806346479,1.5247626192375001,678.625,24,24,0,0
Agent55,0.6300254609750001,0.48349002467257796,1.4485615855083338,2439.1666666666665,24,24,0,0
Agent14,0.5735837939458333,0.5185822074696254,1.4934263647916663,1123.8333333333333,24,24,0,0
