,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent25,0.9482431176666667,0.3680921938059581,1.3213804543749998,2080.875,24,23,1,0
Agent32,0.7513643065499999,0.42140376702705074,1.3794706269875,592.4583333333334,24,24,0,0
Agent68,0.6879948744250001,0.403456236654276,1.3636411689999999,2087.875,24,24,0,0
Group40Agent05,0.6681166540291668,0.41629269034933286,1.3279163289750002,632.0416666666666,24,23,1,0
Agent2,0.6337080614166667,0.42785984326327736,1.3702908911374998,1427.4583333333333,24,24,0,0
Agent55,0.5446225897791667,0.40617757807749033,1.356556318941667,1794.7916666666667,24,24,0,0
Agent14,0.5359120227125,0.4677780657774335,1.420667463741667,1076.0833333333333,24,24,0,0
