,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
HardlinerAgent,0.8738534796000001,0.3448687224737499,1.2192689115416668,3886.375,24,21,3,0
BoulwareAgent,0.8111036478250003,0.40229746418119294,1.3669479091500003,2762.75,24,24,0,0
Group40Agent01,0.7369476423708333,0.3920982750520203,1.3450458550958337,405.5833333333333,24,24,0,0
LinearAgent,0.6604168235208334,0.4249980730207345,1.377524489891667,1052.125,24,24,0,0
ConcederAgent,0.5887587338541665,0.40079935326413657,1.3615520925458335,446.5416666666667,24,24,0,0
RandomAgent,0.5322460516624998,0.3647028748845067,1.1471699486375002,3147.375,24,21,3,0
StupidAgent,0.3317636624416667,0.2931605928533198,1.2526708756875,2.5,24,24,0,0
