,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
HardlinerAgent,0.8732795812875002,0.23423266235334436,1.1080815160625,5046.791666666667,24,21,3,0
BoulwareAgent,0.7768474636166666,0.3946736491855218,1.3735921905124997,3510.375,24,24,0,0
Group40Agent05,0.7735706471750001,0.43218071625727944,1.3999166723708332,882.4583333333334,24,24,0,0
LinearAgent,0.6977933033416664,0.4224508724531413,1.3983140918416668,1597.4166666666667,24,24,0,0
ConcederAgent,0.6328839894624999,0.42415992309344297,1.3880184055791667,962.625,24,24,0,0
RandomAgent,0.5058599694458333,0.34953358166431014,1.1435536793999999,3380.0833333333335,24,21,3,0
StupidAgent,0.2229101860291666,0.20523999070047294,1.1548137249500001,2.5,24,24,0,0
