,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
HardlinerAgent,0.8719403649791667,0.3246959976951161,1.1977798036541667,3760.125,24,21,3,0
Group40Agent04,0.7512216974500001,0.35350544110488596,1.3040215170583334,342.0,24,24,0,0
BoulwareAgent,0.7441591086833333,0.4043671949464147,1.377385941616667,3231.7083333333335,24,24,0,0
LinearAgent,0.6466627591333335,0.4057282892484298,1.3623287602375003,875.0416666666666,24,24,0,0
ConcederAgent,0.5864428700708334,0.37884100102817975,1.3318065753666668,347.0833333333333,24,24,0,0
RandomAgent,0.5463473415874999,0.3190293250460184,1.0777724027916669,3581.875,24,21,3,0
StupidAgent,0.2998489123041667,0.2863988864715142,1.2421511076916667,2.5,24,24,0,0
