,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
HardlinerAgent,0.8737450607708334,0.23592074830205997,1.1100770926499999,5351.541666666667,24,21,3,0
BoulwareAgent,0.8247928638375001,0.38505247958362276,1.3573257661083333,3478.5833333333335,24,24,0,0
LinearAgent,0.7454658955583334,0.41049777708704843,1.3851475918041665,1286.7083333333333,24,24,0,0
ConcederAgent,0.6753752816,0.36446768327712536,1.3303163146125,947.125,24,24,0,0
RandomAgent,0.554667687525,0.3512326782195876,1.1286480853458334,3799.5416666666665,24,21,3,0
Group40Agent02,0.44456246448333325,0.2807374037903268,1.2290320847541667,156.75,24,24,0,0
StupidAgent,0.2480157041083333,0.23334859343503242,1.192702980491667,2.5,24,24,0,0
