,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
HardlinerAgent,0.8309752570666668,0.21842612543523507,1.0501592350291666,5521.5,24,20,4,0
BoulwareAgent,0.8103021641666667,0.3939384006286962,1.363426518775,3246.75,24,24,0,0
Group40Agent01,0.7420249901541669,0.42267348816214284,1.3775292560625,395.9166666666667,24,24,0,0
LinearAgent,0.6933924463333333,0.4592476954434437,1.422041119879167,1705.0416666666667,24,24,0,0
ConcederAgent,0.6124416085041666,0.38331843978449,1.3498812992541669,1235.0833333333333,24,24,0,0
RandomAgent,0.5266974392333332,0.38777720901207496,1.146168972675,3560.625,24,20,4,0
StupidAgent,0.20729026050416663,0.19350246923339665,1.13704193025,2.5,24,24,0,0
