,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Group40Agent04,0.6961122584166666,0.3672300961907779,1.3419822075624996,476.5833333333333,24,24,0,0
Group40Agent05,0.6681166540291668,0.41629269034933286,1.3279163289750002,632.0416666666666,24,23,1,0
Group40Agent03,0.5465723544041667,0.42542157453174534,1.3929653575375,679.875,24,24,0,0
Group40Agent01,0.5048146073791666,0.43527548745006506,1.395581847075,499.875,24,24,0,0
Group40Agent02,0.33874961885000004,0.3362695875794332,1.3318280337208332,164.66666666666666,24,24,0,0
