,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Group40Agent04,0.6955690344375002,0.4595925173482289,1.3948786839874998,753.3333333333334,24,24,0,0
Group40Agent05,0.7373296739166667,0.5098264655523764,1.4706580893791663,812.5833333333334,24,24,0,0
Group40Agent03,0.7854035859833336,0.5732208547463734,1.547622941866667,489.2083333333333,24,24,0,0
Group40Agent01,0.6039892484375,0.47883194159926634,1.4561911420916662,413.3333333333333,24,24,0,0
Group40Agent02,0.44952897437083345,0.3859344874026511,1.350029377725,210.58333333333334,24,24,0,0
