,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Group40Agent04,0.5129865857208334,0.34159286892749036,1.3215506118166667,1082.5416666666667,24,24,0,0
Group40Agent05,0.6995818584083335,0.49540111013140814,1.4609120642958333,1189.625,24,24,0,0
Group40Agent03,0.6931804001375,0.5475723806346479,1.5247626192375001,678.625,24,24,0,0
Group40Agent01,0.47213785051249996,0.4042388692701604,1.3664880855541668,544.9583333333334,24,24,0,0
Group40Agent02,0.28551791572083335,0.28036573586718816,1.2625639970749998,315.7916666666667,24,24,0,0
