,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Group40Agent04,0.8773094228,0.34170928644961535,1.30999294580625,266.4375,16,16,0,0
Group40Agent05,0.8232320525687499,0.4077177749700947,1.36036948908125,356.25,16,16,0,0
Group40Agent03,0.72710663803125,0.42469255731842465,1.40408840641875,289.6875,16,16,0,0
Group40Agent01,0.625397515,0.4105523980562541,1.3878872748875002,238.0,16,16,0,0
Group40Agent02,0.34191690099374994,0.3363016620185643,1.3275869425937499,9.5,16,16,0,0
