agent,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Group40Agent01,0.6097766564223959,0.42935339785139,1.3957088132359377,406.41145833333337,22.0,22.0,0.0,0.0
Group40Agent02,0.39069642520442704,0.33563867671189074,1.310403078823177,132.43489583333334,22.0,22.0,0.0,0.0
Group40Agent03,0.7158839591406251,0.45701769760142763,1.4287981484763022,499.70572916666663,22.0,22.0,0.0,0.0
Group40Agent04,0.7306512546539063,0.38546047925400345,1.3510122434752603,574.1302083333334,22.0,22.0,0.0,0.0
Group40Agent05,0.7478716105750001,0.4472963027487237,1.397167467448177,684.7708333333334,22.0,21.75,0.25,0.0
