,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Group40Agent04,0.791593686425,0.41281224009760303,1.3842306057333333,733.5,24,24,0,0
Group40Agent05,0.7735706471750001,0.43218071625727944,1.3999166723708332,882.4583333333334,24,24,0,0
Group40Agent03,0.8139310205541667,0.4491204422589865,1.4290247217208332,463.5416666666667,24,24,0,0
Group40Agent01,0.7420249901541669,0.42267348816214284,1.3775292560625,395.9166666666667,24,24,0,0
Group40Agent02,0.44456246448333325,0.2807374037903268,1.2290320847541667,156.75,24,24,0,0
