,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
HardlinerAgent,0.8740306484500001,0.3151423316818732,1.1895864821166666,3841.0,24,21,3,0
BoulwareAgent,0.8460303088583335,0.39262499535054296,1.3694437894958336,2742.5416666666665,24,24,0,0
LinearAgent,0.7305994399666668,0.39535500353364467,1.3553626918666668,833.7916666666666,24,24,0,0
ConcederAgent,0.6854009298416668,0.3915380454983812,1.3589483672416665,365.5,24,24,0,0
RandomAgent,0.565690311875,0.3558310777815748,1.1454519623375001,3167.1666666666665,24,21,3,0
Group40Agent02,0.4569431375000001,0.31727182155682404,1.2935940855875,3.5833333333333335,24,24,0,0
StupidAgent,0.33598318917500003,0.3130990967510177,1.2769685526875,2.5,24,24,0,0
