,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
HardlinerAgent,0.8726381007458336,0.24200784530811628,1.1154368186624999,4563.0,24,21,3,0
Group40Agent03,0.8139310205541667,0.4491204422589865,1.4290247217208332,463.5416666666667,24,24,0,0
BoulwareAgent,0.7999103832458334,0.41763937367452053,1.3932718626166667,3721.125,24,24,0,0
LinearAgent,0.6633690822208335,0.4416404330887778,1.4139074169,1693.8333333333333,24,24,0,0
ConcederAgent,0.6182988685458334,0.3928709218205109,1.3619878946541666,830.7916666666666,24,24,0,0
RandomAgent,0.5619981516291667,0.41873260419627695,1.2365519659125004,3419.4583333333335,24,21,3,0
StupidAgent,0.2397536956166667,0.22379215938598895,1.18961792465,2.5,24,24,0,0
