,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent25,0.9949108541458336,0.33024139206277364,1.3278753292624998,3792.5833333333335,24,24,0,0
Agent68,0.7782096448333333,0.39076603663462595,1.3464393218041666,3491.7083333333335,24,24,0,0
Agent2,0.7682432566875002,0.43826047382263794,1.4090848827291662,2017.4583333333333,24,24,0,0
Agent32,0.7237847247000001,0.4938087229146167,1.4569330802666671,577.625,24,24,0,0
Agent14,0.6551966741458332,0.5000788795293463,1.4680196431958328,1238.7916666666667,24,24,0,0
Agent55,0.6102125379333333,0.3905717307897727,1.3612349619999995,3082.7083333333335,24,24,0,0
Group40Agent02,0.28551791572083335,0.28036573586718816,1.2625639970749998,315.7916666666667,24,24,0,0
