,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent25,0.9434599183999999,0.33361024309575255,1.2836591975041665,1985.125,24,23,1,0
Agent32,0.7751963494499999,0.4071807731219445,1.3594075182083334,555.625,24,24,0,0
Agent68,0.7391056608958331,0.3804367179061452,1.3412968437791666,1788.125,24,24,0,0
Agent2,0.7136797909875,0.39824742238425276,1.3138922087666667,1503.25,24,23,1,0
Agent14,0.6021031249375,0.45377418288852306,1.4170950806458331,1279.5833333333333,24,24,0,0
Agent55,0.5653573006041667,0.348485548010188,1.3081246456250002,1828.625,24,24,0,0
Group40Agent02,0.33874961885000004,0.3362695875794332,1.3318280337208332,164.66666666666666,24,24,0,0
