,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
HardlinerAgent,0.8725156505833334,0.30344294357065976,1.1767549708416667,3853.25,24,21,3,0
Group40Agent03,0.7859677710708333,0.39601795188379646,1.3581205712791666,471.5833333333333,24,24,0,0
BoulwareAgent,0.7838366783666668,0.4032436674936446,1.374649668216667,3046.375,24,24,0,0
LinearAgent,0.6468727645166666,0.42257909771679714,1.3882368803666667,895.2916666666666,24,24,0,0
ConcederAgent,0.5977335776541666,0.4118090454429024,1.3799403921708333,461.1666666666667,24,24,0,0
RandomAgent,0.5731937856708333,0.3854529255277972,1.1834094934208335,3406.75,24,21,3,0
StupidAgent,0.2790963133833333,0.2601066429101881,1.2173211061958333,2.5,24,24,0,0
