,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
HardlinerAgent,0.8735714527375001,0.3229061875364783,1.1970151829291666,3758.125,24,21,3,0
BoulwareAgent,0.7757485281791667,0.40881185403769393,1.3766831294958337,2883.0416666666665,24,24,0,0
Group40Agent05,0.7591915427208332,0.4194037561845561,1.3791985294291669,476.4166666666667,24,24,0,0
LinearAgent,0.6661713494541667,0.43518299952743006,1.3948993347166667,699.5,24,24,0,0
RandomAgent,0.6095815375583332,0.36146020688136543,1.1486312931208336,3334.875,24,21,3,0
ConcederAgent,0.5907653777291667,0.41171675058598595,1.3734252555250002,298.625,24,24,0,0
StupidAgent,0.2697570789791667,0.25954401242525355,1.2197210095,2.5,24,24,0,0
