,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent25,0.9930911084166669,0.3419070600851004,1.3384955352208332,3255.3333333333335,24,24,0,0
Agent68,0.7317210418250002,0.43930783090261727,1.4035213731124998,3432.1666666666665,24,24,0,0
Agent2,0.7123360670500002,0.4646663422003207,1.433368014495833,2203.0416666666665,24,24,0,0
Agent32,0.7014245020791668,0.5360249128153075,1.4981037632250007,674.375,24,24,0,0
Group40Agent05,0.6995818584083335,0.49540111013140814,1.4609120642958333,1189.625,24,24,0,0
Agent14,0.6208064362541665,0.5465403647727476,1.5176413391416668,1275.5,24,24,0,0
Agent55,0.5784392649375001,0.45418323872620725,1.4227584684500003,2648.7083333333335,24,24,0,0
