,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent25,0.9455706956458333,0.3650706769191549,1.3172022044916665,1821.625,24,23,1,0
Agent32,0.7946294265916666,0.4121153652627916,1.3802492867833334,591.5,24,24,0,0
Agent68,0.7306355793208331,0.4120030282320237,1.3640508265166664,2077.5416666666665,24,24,0,0
Agent2,0.6287074136125,0.36114810481437837,1.2457139459791666,1474.0,24,22,2,0
Agent14,0.5656976152958332,0.46965738487009734,1.4186067358708332,1055.75,24,24,0,0
Agent55,0.5358670952874999,0.3757326291914198,1.29044001955,1871.7083333333333,24,23,1,0
Group40Agent01,0.5048146073791666,0.43527548745006506,1.395581847075,499.875,24,24,0,0
