,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent25,0.9862841715749999,0.38447311572350523,1.3776386878124995,1977.8333333333333,24,24,0,0
Agent68,0.8044818739333333,0.4353426840062052,1.3948403004041667,2072.0833333333335,24,24,0,0
Agent2,0.7162931878083333,0.38704296670296573,1.3453326342791667,1589.0,24,24,0,0
Agent32,0.7048909641124999,0.45178301644073976,1.400687342975,644.0416666666666,24,24,0,0
Agent55,0.5601726573666667,0.37408240808103815,1.3363886664208335,1985.6666666666667,24,24,0,0
Group40Agent03,0.5465723544041667,0.42542157453174534,1.3929653575375,679.875,24,24,0,0
Agent14,0.5102647855916667,0.4538774323076898,1.4100670001541669,1181.3333333333333,24,24,0,0
