,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
HardlinerAgent,0.9143047674125002,0.24782586560394962,1.162921505625,5921.416666666667,24,22,2,0
Group40Agent04,0.791593686425,0.41281224009760303,1.3842306057333333,733.5,24,24,0,0
BoulwareAgent,0.7740376621083334,0.4022259772097807,1.3700836065833333,4284.208333333333,24,24,0,0
LinearAgent,0.6729715672208333,0.4306183348297623,1.4098278617291664,2195.25,24,24,0,0
ConcederAgent,0.6176399544166666,0.4053121273271563,1.3736683466583333,1489.625,24,24,0,0
RandomAgent,0.5292055743166665,0.37095899680615124,1.2317568036791668,3520.0,24,22,2,0
StupidAgent,0.2812518580083333,0.2644976066216152,1.2295214098083331,2.5,24,24,0,0
