,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent25,0.9873680622583333,0.3538141586255239,1.3471257194124997,1807.1666666666667,24,24,0,0
Agent68,0.7037886457083332,0.39998701754233695,1.3562173673083333,2241.6666666666665,24,24,0,0
Agent32,0.697030270025,0.4306514704416026,1.3861291999041665,613.5416666666666,24,24,0,0
Group40Agent04,0.6961122584166666,0.3672300961907779,1.3419822075624996,476.5833333333333,24,24,0,0
Agent2,0.6912194486500001,0.4182432953664949,1.3730800995541665,1500.4166666666667,24,24,0,0
Agent55,0.5060720588916667,0.38796123175451913,1.3514514211833335,2134.9166666666665,24,24,0,0
Agent14,0.5036589100791665,0.45292621439401515,1.4145132931333333,1109.2916666666667,24,24,0,0
